Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,Company_Stage,Classifier_Date
Apreo Health,https://apreohealth.com/,Menlo Park,,,Lung Disease Treatment,,BPG,Unknown,2025-11-15
Apros Therapeutics,https://www.aprostx.com/,San Diego,,,Innate Immune Agonists,,BPG,Private,2025-11-15
Aptah Bio,https://www.aptah-bio.com/,San Carlos,,,RNA Integrity Restoration,,BPG,Unknown,2025-11-15
Aptitude Medical Systems,https://www.aptitudemedical.com/,Goleta,,,Aptamers,,BPG,Unknown,2025-11-15
Aptose Biosciences,https://www.aptose.com/,San Diego,,,Cancer Drugs,,BPG,Unknown,2025-11-15
Aqtual,https://aqtual.com/,Hayward,,,Cell-free DNA Diagnostics,,BPG,Unknown,2025-11-15
Aqua Medical,https://aquaendoscopy.com/,Pleasanton,,,Vapor-Based Endoscopic Ablation Therapy,,BPG,Unknown,2025-11-15
Aquedeon Medical,https://aquedeonmedical.com/,Sunnyvale,,,Vascular Graft System,,BPG,Unknown,2025-11-15
Aqur Biosciences,https://aqurbiosciences.com/,Westlake Village,,,Next-generation cardiovascular therapies,,BPG,Unknown,2025-11-15
Aracari Biosciences,https://aracaribio.com/,Irvine,,,Vascularized Tissues that mimic the Human Body,,BPG,Unknown,2025-11-15
Aralez Bio,https://aralezbio.com/,Berkeley,,,Noncanonical Amino Acids,,BPG,Unknown,2025-11-15
Arbor Vita,https://www.arborvita.com/,Fremont,,,Diagnostics,,BPG,Unknown,2025-11-15
Arcturus Therapeutics,https://arcturusrx.com/,San Diego,,,Lipid nanoparticle (LNP) mRNA drug delivery systems,,BPG,Private,2025-11-15
Arcus Biosciences,https://arcusbio.com/,Hayward,,,Cancer Immunotherapies,,BPG,Unknown,2025-11-15
Arcutis Biotherapeutics,https://www.arcutis.com/,Westlake Village,,,"Reformulated, Topical Dermatology Products",,BPG,Private,2025-11-15
Arda Therapeutics,https://ardatx.com/,San Carlos,,,Pathogenic Cell Depletion via ADCs,,BPG,Private,2025-11-15
Ardelyx,https://ardelyx.com/,Fremont,,,Gastrointestinal Therapeutics,,BPG,Unknown,2025-11-15
Argonaut Manufacturing Services,https://www.argonautms.com/,Carlsbad,,,"Argonaut is a CMO dedicated to serving highly-innovative companies in biopharmaceuticals and molecular diagnostics. Specializing in formulation, filling, finishing and final kitting.",,BPG,Service,2025-11-15
Argá Medtech,https://argamedtech.com/,San Diego,,,Cardiac Ablation System,,BPG,Unknown,2025-11-15
Arialys Therapeutics,https://www.arialysrx.com/,La Jolla,,,Therapies for autoimmune neuropsychiatric diseases,,BPG,Private,2025-11-15
Aridis Pharmaceuticals,https://www.aridispharma.com/,Los Gatos,,,Monoclonal Antibody & Small Molecule Targeting Infectious Diseases,,BPG,Private,2025-11-15
Arima Genomics,https://arimagenomics.com/,Carlsbad,,,Genomic Analysis Kits,,BPG,Unknown,2025-11-15
Arisan Therapeutics,https://www.arisanthera.com/,Carlsbad,,,Infectious diseases,,BPG,Private,2025-11-15
Ark Clinical Research,https://arkclinicalresearch.com/,Long Beach,,,Clinical Research,,BPG,Unknown,2025-11-15
Ark Diagnostics,https://ark-tdm.com/,Fremont,,,Serum / Plasma Assays,,BPG,Unknown,2025-11-15
Armata Pharmaceuticals,https://www.armatapharma.com/,Los Angeles,,,Natural and synthetic bacteriophage-based therapies,,BPG,Private,2025-11-15
Armonica Technologies,https://www.armonicatech.com/,Carlsbad,,,Long-read sequencing platform,,BPG,Unknown,2025-11-15
Arnatar Therapeutics,https://www.arnatar.com/,San Diego,,,RNA-based Medicines,,BPG,Private,2025-11-15
Arriello,https://arriello.com/,South SF,,,Strategy & Regulatory Consulting,,BPG,Unknown,2025-11-15
Arrowhead Pharmaceuticals,https://arrowheadpharma.com/,Pasadena,,,RNAi,,BPG,Private,2025-11-15
Arsenal Biosciences,https://arsenalbio.com/,South SF,,,Cancer Treatments,,BPG,Unknown,2025-11-15
Artelo Biosciences,https://artelobio.com/,Solana Beach,,,Cannabinoids,,BPG,Unknown,2025-11-15
Artera,https://artera.ai/,Los Altos,,,AI Diagnostics,,BPG,Unknown,2025-11-15
Artery Therapeutics,https://www.arterytx.com/,San Ramon,,,Peptide therapies,,BPG,Private,2025-11-15
Arthrex,https://www.arthrex.com/,Santa Barbara,,,Arthroscopy Devices,,BPG,Unknown,2025-11-15
Arthrosi Therapeutics,https://arthrosi.com/,San Diego,,,Treatments for gout and chronic kidney diseases,,BPG,Private,2025-11-15
Artificial,https://artificial.com/,Palo Alto,,,AI Lab Platform,,BPG,Unknown,2025-11-15
Artis BioSolutions,https://artisbiosolutions.com/,San Diego,,,"CDMO - Gene Therapy, Biologics",,BPG,Unknown,2025-11-15
Artiva Biotherapeutics,https://www.artivabio.com/,San Diego,,,NK Cell Therapies for Cancer,,BPG,Private,2025-11-15
Arytha Biosciences,https://arytha.com/,San Diego,,,Biomimetic Nanoparticles,,BPG,Unknown,2025-11-15
Ascendis Pharma,https://ascendispharma.com/,Palo Alto,,,Prodrug therapies,,BPG,Private,2025-11-15
AscentX Medical,https://ascentxmedical.com/,San Diego,,,Autologous Tissue Engineering,,BPG,Unknown,2025-11-15
Asegua Therapeutics,https://www.asegua.com/,Foster City,,,Authorized Gilead Generics,,BPG,Private,2025-11-15
Asha Pharma,https://ashasd.com/,San Diego,,,Solid state crystallization services,,BPG,Private,2025-11-15
Asher Biotherapeutics,https://asherbio.com/,South SF,,,IL-2 Therapies,,BPG,Private,2025-11-15
Ashvattha Therapeutics,https://avttx.com/,Redwood City,,,Nanomedicine Delivery,,BPG,Private,2025-11-15
Asieris Pharmaceuticals,https://asieris.com/,Palo Alto,,,"Small Molecules, Drug-Device Comvo Product",,BPG,Private,2025-11-15
Askgene Pharma,https://ask-gene.com/,Camarillo,,,Biosimilars,,BPG,Private,2025-11-15
Aspa Therapeutics,https://aspatx.com/,Palo Alto,,,Gene Therapy,,BPG,Private,2025-11-15
Aspen Biosciences,https://aspenbiosciences.com/,San Diego,,,Software solutions for drug discovery and diagnostics challenges,,BPG,Unknown,2025-11-15
Aspen Medical products,https://www.aspenmp.com/,Irvine,,,Upper and lower spinal orthotics,,BPG,Unknown,2025-11-15
Aspen Neuroscience,https://aspenneuroscience.com/,San Diego,,,Personalized Regenerative Medicine,,BPG,Unknown,2025-11-15
Assay Biotechnology,https://assaybiotechnology.com/,San Jose,,,"Antibodies, ELISA kits, Assays Kits, dyes, assay / antibody services",,BPG,Unknown,2025-11-15
Assembly Biosciences,https://www.assemblybio.com/,South SF,,,Small Molecule Antivirals,,BPG,Unknown,2025-11-15
Astoriom,https://www.astoriom.com/,San Diego,,,"R&D sample storage, protection, and compliance",,BPG,Unknown,2025-11-15
AstraZeneca,https://www.astrazeneca.com/,South SF,,,"Small Molecules, Vaccines, Biologics",,BPG,Unknown,2025-11-15
Astraea Therapeutics,https://www.astraeatherapeutics.com/,Mountain View,,,Small Molecules,,BPG,Private,2025-11-15
Atara Biotherapeutics,https://www.atarabio.com/,Thousand Oaks,,,"Peptibody, Monoclonal Antibody, Cell Therapy",,BPG,Public,2025-11-15
Atec Spine,https://atecspine.com/,Carlsbad,,,Products for Spine Surgery,,BPG,Unknown,2025-11-15
Atengen,https://atengen.com/,Los Angeles,,,"Small Molecules, Antibody Therapies",,BPG,Unknown,2025-11-15
Athelas,https://www.athelas.com/,Mountain View,,,Instant point-of-care Immune-cell monitoring,,BPG,Unknown,2025-11-15
Athos Therapeutics,https://athostx.com/,Torrance,,,AI-Based Precision Therapeutics,,BPG,Private,2025-11-15
Atia Vision,https://atiavision.com/,Campbell,,,Modular Presbyopia Correcting Intraocular Lens,,BPG,Unknown,2025-11-15
Atila Biosystems,https://atilabiosystems.com/,Sunnyvale,,,Novel chemistry for nucleic acid amplification,,BPG,Unknown,2025-11-15
Atmo Biosciences,https://atmobiosciences.com/,San Diego,,,Ingestible Capsules,,BPG,Unknown,2025-11-15
Atomic AI,https://atomic.ai/,South SF,,,AI-based RNA Drug Discovery,,BPG,Unknown,2025-11-15
Atonarp,https://www.atonarp.com/,Pleasanton,,,Molecular Analysis by Mass Spec,,BPG,Unknown,2025-11-15
AtriCure,https://www.atricure.com/,Pleasanton,,,Cardiovascular Devices,,BPG,Unknown,2025-11-15
Atropos Therapeutics,https://www.atroposthera.com/,San Carlos,,,Small Molecules Targeting Senescence,,BPG,Private,2025-11-15
Attovia Therapeutics,https://www.attovia.com/,San Carlos,,,Proprietary biparatopic nanobody platform,,BPG,Private,2025-11-15
Attune Neurosciences,https://www.attuneneuro.com/,San Francisco,,,Non-invasive neurostimulation products,,BPG,Unknown,2025-11-15
Aubex Therapeutics,https://www.aubextherapeutics.com/,San Diego,,,Compounds directed toward the Tumor Microenvironment,,BPG,Private,2025-11-15
Augmenta Bioworks,https://www.augbio.com/,Menlo Park,,,"Antibody Discovery, Target Identification Services",,BPG,Unknown,2025-11-15
Auransa,https://www.auransa.com/,Palo Alto,,,AI-based Drug Discovery,,BPG,Unknown,2025-11-15
Aureka Biotechnologies,https://aurekabio.com/,Laguna Hills,,,Digitalizing Therapeutic Discovery,,BPG,Unknown,2025-11-15
Aurora Biolabs,https://aurorabiolabs.com/,San Diego,,,Recombinant Research Proteins,,BPG,Incubator,2025-11-15
Aurora Microplates,https://auroramicroplates.com/,San Jose,,,Microplates,,BPG,Unknown,2025-11-15
Aurora Spine,https://www.aurora-spine.com/,Carlsbad,,,Spinal implants,,BPG,Unknown,2025-11-15
AusperBio,https://ausperbio.com/,San Mateo,,,"Viral Treatments, ASO",,BPG,Unknown,2025-11-15
Austral Biologicals,http://www.australbiologicals.com/index.php,San Ramon,,,"Research product distributor, Contract Services",,BPG,Unknown,2025-11-15
Autobahn Therapeutics,https://autobahntx.com/,San Diego,,,Remyelination program for multiple sclerosis,,BPG,Private,2025-11-15
Autonomous Medical Devices,https://amdilabs.com/,Santa Ana,,,POC Molecular Diagnostics,,BPG,Unknown,2025-11-15
Avacen Medical,https://avacen.com/,Carlsbad,,,Arthritis heat therapy device,,BPG,Unknown,2025-11-15
Avails Medical,https://availsmedical.com/,Menlo Park,,,FAST Diagnostics,,BPG,Unknown,2025-11-15
AvantGen,https://www.avantgen.com/,San Diego,,,"Yeast-Display Technology, Human Antibody Discovery",,BPG,Unknown,2025-11-15
Avantec Vascular,https://avantecvascular.com/,Sunnyvale,,,Medical devices and peripheral vascular devices,,BPG,Unknown,2025-11-15
Avellino Laboratories,https://avellino.ai/,Menlo Park,,,"Gene Therapy, Molecular Diagnostics",,BPG,Service,2025-11-15
Avenda Health,https://avendahealth.com/,Culver City,,,Prostate Tissue Ablation,,BPG,Unknown,2025-11-15
Avenue Biosciences,https://www.avenuebiosciences.com/,Palo Alto,,,Protein Engineering,,BPG,Unknown,2025-11-15
Avenzo Therapeutics,https://avenzotx.com/,San Diego,,,Oncology Treatments,,BPG,Private,2025-11-15
Avenzoar Pharmaceuticals,https://www.avenzoarpharmaceuticals.com/,Los Angeles,,,Small molecule therapeutics for cancer,,BPG,Private,2025-11-15
Averto Medical,https://www.avertomed.com/,Fremont,,,Ostomy Avoidance,,BPG,Unknown,2025-11-15
Avesta76 Therapeutics,https://www.avestabio.com/,Los Angeles,,,Cancer Therapies,,BPG,Private,2025-11-15
Avidity Biosciences,https://www.aviditybiosciences.com/,San Diego,,,Antibody-Oligonucleotide Conjugates,,BPG,Unknown,2025-11-15
Avinger,https://www.lumivascular.us/,Redwood City,,,Arterial surgical devices,,BPG,Unknown,2025-11-15
Avirmax,https://avirmax.com/,Hayward,,,rAAV-mediated Gene Therapy Technology,,BPG,Unknown,2025-11-15
Avisi Technologies,https://avisitech.com/,Redwood City,,,Nanotechnology-enabled implant that controls intraocular pressure in the eye to treat open-angle glaucoma,,BPG,Unknown,2025-11-15
Aviva Systems Biology,https://www.avivasysbio.com/,San Diego,,,"Antibodies, Peptides, Kits, etc.",,BPG,Unknown,2025-11-15
Avive Solutions,https://www.avive.life/,Brisbane,,,Automated External Defibrillator,,BPG,Unknown,2025-11-15
Avvio Medical,https://avviomedical.com/,San Francisco,,,Kidney Stone Treatment,,BPG,Unknown,2025-11-15
Axbio,https://www.axbio.com/,Santa Clara,,,Biochips,,BPG,Unknown,2025-11-15
Axim Biotech,https://aximbiotech.com/,San Diego,,,Ophthalmological Diagnostics,,BPG,Unknown,2025-11-15
Axiom,https://axi.om/,San Francisco,,,AI Toxicity Modeling,,BPG,Unknown,2025-11-15
AxisPharm,https://axispharm.com/,San Diego,,,"Bioanalytical Services, Proteomics, ADC Linker and Bioconjugation Services",,BPG,Service,2025-11-15
Axon Therapies,https://axontherapies.com/,Santa Clara,,,Catheter Ablation System for Heart Failure,,BPG,Unknown,2025-11-15
Axonics,https://www.axonics.com/,Irvine,,,Sacral Neuromodulation Device,,BPG,Unknown,2025-11-15
Axxin,https://www.axxin.com/,El Segundo,,,Diagnostic system,,BPG,Unknown,2025-11-15
Azalea Therapeutics,https://azaleatx.com/,Berkeley,,,Engineering Cells Directly Inside Each Patient,,BPG,Private,2025-11-15
Azena Medical,https://www.azenamedical.com/,Walnut Creek,,,Pretty medical devices,,BPG,Unknown,2025-11-15
Azenta Life Sciences,https://www.azenta.com/,La Jolla,,,Automation Products,,BPG,Unknown,2025-11-15
Azora Therapeutics,https://www.azoratherapeutics.com/,Los Angeles,,,"Novel small molecule new chemical entities for the treatment of autoimmune, inflammatory diseases",,BPG,Private,2025-11-15
BALT,https://baltgroup.com/,Irvine,,,Products for the interventional access and treatment of neurovascular diseases,,BPG,Unknown,2025-11-15
BCN Biosciences,http://www.bcnbio.com/,Pasadena,,,"Small Molecules, Monoclonal Antibodies",,BPG,Unknown,2025-11-15
BP Logix Life Sciences,https://www.bplogix.com/life-sciences,Encinitas,,,Automation Software,,BPG,Unknown,2025-11-15
BPS Bioscience,https://bpsbioscience.com/,San Diego,,,Enzymes for Drug Discovery,,BPG,Unknown,2025-11-15
BTB Therapeutics,https://www.btbtherapeutics.com/en/,Escondido,,,Non-opioid therapies and novel RNA splicing modifiers,,BPG,Private,2025-11-15
BacStitch DNA,https://bacstitchdna.com/,South SF,,,Engineering Bacteria for DNA Production,,BPG,Unknown,2025-11-15
Bachem,https://www.bachem.com/,Torrance,,,"Contract Peptides, Oligos",,BPG,Unknown,2025-11-15
Bash Biotech,https://bashbio.com/,San Diego,,,"Kidney, Neuro Treatments",,BPG,Unknown,2025-11-15
Basilard BioTech,https://basilardbiotech.com/,Temecula,,,Gene Delivery Platform,,BPG,Unknown,2025-11-15
Bausch Health,https://www.bauschhealth.com/,Irvine,,,Small Molecules,,BPG,Unknown,2025-11-15
Bayer BioPartnering Solutions,https://www.bayer.com/en/us/BioPartneringSolutions,Berkeley,,,Biomanufacturing - recombinant protein and cell therapy modalities,,BPG,Unknown,2025-11-15
Baylx,https://www.baylxinc.com/,Irvine,,,Stem Cell Therapeutics,,BPG,Unknown,2025-11-15
Bayside Biosciences,http://baysidebio.com/,Santa Clara,,,Contract Preclinical Services,,BPG,Unknown,2025-11-15
BeOne Medicines,https://beonemedicines.us/,San Carlos,,,"Small Molecules, Monoclonal Antibodies",,BPG,Private,2025-11-15
Becton Dickinson,https://www.bd.com/en-us,San Diego,,,Lots of Biotechnology Products,,BPG,Unknown,2025-11-15
Behavioral Pharma,https://www.behavioralpharma.com/,La Jolla,,,Preclinical Lab Services,,BPG,Private,2025-11-15
Bel Air Pharmaceuticals,https://www.belairpharmaceuticals.net,Beverly Hills,,,"Wound Care, Diagnostics, Pain Management",,BPG,Private,2025-11-15
Belharra Therapeutics,https://belharratx.com/,San Diego,,,"Small molecule drugs in oncology, immuno-oncology, autoimmune and neurodegenerative diseases",,BPG,Private,2025-11-15
Belite Bio,https://belitebio.com/#home,San Diego,,,Oral Small Molecules,,BPG,Unknown,2025-11-15
Beloteca,http://beloteca.com/index.html,San Diego,,,Generics & 505(b)(2) drugs,,BPG,Unknown,2025-11-15
Benchling,https://www.benchling.com/,San Francisco,,,Biotech Software,,BPG,Unknown,2025-11-15
Benitec Biopharma,https://www.benitec.com/,Hayward,,,DdRNAi,,BPG,Private,2025-11-15
Benthic Genomics,https://www.benthic.bio/,Mountain View,,,Sequencing Solutions,,BPG,Unknown,2025-11-15
Bespoke Biotherapeutics,https://bespokebiotx.com/,San Mateo,,,Genome Engineered B-cell Therapeutics,,BPG,Private,2025-11-15
Beta Bionics,https://www.betabionics.com/,Irvine,,,Artificial Pancreas,,BPG,Unknown,2025-11-15
Bexson Biomedical,https://www.bexsonbiomedical.com/,Santa Barbara,,,Subcutaneous Drug Delivery,,BPG,Unknown,2025-11-15
Big Eye Diagnostics,https://www.bigeyedx.com/,San Diego,,,All Terrain Diagnostics,,BPG,Unknown,2025-11-15
BigHat Biosciences,https://www.bighatbio.com/,San Mateo,,,"BigHat designs safer, more effective biologic therapies using machine learning and synthetic biology",,BPG,Unknown,2025-11-15
BillionToOne,https://www.billiontoone.com/,Menlo Park,,,Prenatal Genetic Testing,,BPG,Unknown,2025-11-15
Binacea Pharma,https://binaceapharma.com/,Hayward,,,Cancer Antibodies,,BPG,Private,2025-11-15
Bio Applied Technologies Joint,http://www.batj.net/,San Diego,,,Biotech Services,,BPG,Unknown,2025-11-15
Bio4t2,https://bio4t2.com/,San Diego,,,CAR-T Cell Therapies,,BPG,Unknown,2025-11-15
BioAge Labs,https://bioagelabs.com/,Richmond,,,Computational platform that explores a universe of proprietary and public data to identify and target the molecular factors that influence longevity,,BPG,Research,2025-11-15
BioAmp Diagnostics,https://bioampdx.com/,San Carlos,,,Diagnostics to counteract antibiotic resistance,,BPG,Unknown,2025-11-15
BioAssay Systems,https://bioassaysys.com/,Hayward,,,Assays,,BPG,Unknown,2025-11-15
BioAtla,https://www.bioatla.com/,San Diego,,,Conditionally-active Biologics,,BPG,Unknown,2025-11-15
BioCardia,https://www.biocardia.com/,Sunnyvale,,,Personalized marrow-derived cell therapy,,BPG,Unknown,2025-11-15
BioChain,https://www.biochain.com/,Newark,,,Sample Preparation,,BPG,Unknown,2025-11-15
BioCorRx,https://www.biocorrx.com/,Anaheim,,,Addiction Treatments,,BPG,Unknown,2025-11-15
BioDot,https://www.biodot.com/,Irvine,,,Equipment,,BPG,Unknown,2025-11-15
BioEclipse Therapeutics,https://www.bioeclipse.com/,Mountain View,,,Immuno-Oncology,,BPG,Private,2025-11-15
BioGenex,https://biogenex.com/,Fremont,,,"Cellular & Molecular Diagnostics, Biotech Reagents",,BPG,Unknown,2025-11-15
BioGrammatics,https://www.biogrammatics.com/,Carlsbad,,,Protein Expression,,BPG,Unknown,2025-11-15
BioJiva,https://biojiva.com/,San Jose,,,,,BPG,Unknown,2025-11-15
BioLegacy Research,https://biolegacyresearch.com/,San Diego,,,Contract Research,,BPG,Unknown,2025-11-15
BioLegend,https://www.biolegend.com/,San Diego,,,"Cytokines, Reagents, etc.",,BPG,Unknown,2025-11-15
BioMap,https://www.biomap.com/en/,Palo Alto,,,AI Models,,BPG,Unknown,2025-11-15
BioMarin Pharmaceutical,https://www.biomarin.com/,Novato,,,Biologics,,BPG,Public,2025-11-15
BioNTech,https://www.biontech.com/int/en/home.html,San Diego,,,"mRNA, Vaccines, Biologics",,BPG,Unknown,2025-11-15
BioPioneer,https://www.biopioneerinc.com/,San Diego,,,Molecular Biology Reagents,,BPG,Unknown,2025-11-15
BioProduction Systems,https://www.bioproductionsystems.com/,Palo Alto,,,Biologic CDMO,,BPG,Unknown,2025-11-15
BioQ Pharma,https://bioqpharma.com/,San Francisco,,,Drug infusion systems,,BPG,Private,2025-11-15
BioSapien,https://biosapien.com/,San Diego,,,3D printed biodegradable mesh,,BPG,Unknown,2025-11-15
BioSciencesCorp,https://www.biosciencescorp.com/,San Ramon,,,Biologics Services & Consulting,,BPG,Unknown,2025-11-15
BioSpring,https://www.biospring.net/,La Jolla,,,Manufacturing & Analytical Services,,BPG,Unknown,2025-11-15
BioSpyder Technologies,https://www.biospyder.com/,Carlsbad,,,Gene expression profiling,,BPG,Unknown,2025-11-15
BioSuperior,https://bio-superior.com/,Los Altos,,,"Non-invasive, and easily accessible technologies to cure lung disease",,BPG,Unknown,2025-11-15
BioSyn,https://biosyncorp.com/,Carlsbad,,,Hemocyanin Products,,BPG,Unknown,2025-11-15
BioTechLogic,https://www.biotechlogic.com/,Walnut Creek,,,Biopharmaceutical Consulting,,BPG,Unknown,2025-11-15
